Date,Shift,Units_Produced,Defects,Defect_Rate,Downtime_Minutes,Efficiency,Energy_Used,Labor_Hours
2023-01-29,Evening,845,9,0.0107,86,0.977,523,183
2023-01-29,Night,912,15,0.0164,100,0.845,527,192
2023-01-30,Morning,1082,16,0.0148,14,0.954,667,153
2023-01-30,Evening,1194,21,0.0176,0,0.868,567,160
2023-01-30,Night,1178,24,0.0204,92,0.907,578,167
2023-01-31,Morning,833,9,0.0108,22,0.784,671,188
2023-01-31,Evening,810,30,0.037,60,0.906,727,151
2023-01-31,Night,1144,41,0.0358,41,0.958,666,194
2023-02-01,Morning,1055,25,0.0237,92,0.813,685,188
2023-02-01,Evening,894,17,0.019,1,0.783,626,168
2023-02-01,Night,881,14,0.0159,86,0.923,756,156
2023-02-02,Morning,837,21,0.0251,88,0.954,647,175
2023-02-02,Evening,883,40,0.0453,90,0.951,620,184
2023-02-02,Night,894,39,0.0436,75,0.965,716,183
2023-02-03,Morning,1093,23,0.021,15,0.839,749,157
2023-02-03,Evening,807,29,0.0359,24,0.964,565,175
2023-02-03,Night,811,22,0.0271,21,0.796,748,150
2023-02-04,Morning,908,12,0.0132,114,0.942,632,185
2023-02-04,Evening,1009,48,0.0476,53,0.838,764,185
2023-02-04,Night,852,15,0.0176,14,0.896,592,164
2023-02-05,Morning,1053,45,0.0427,98,0.942,763,158
2023-02-05,Evening,896,17,0.019,116,0.877,512,187
2023-02-05,Night,924,12,0.013,89,0.761,794,163
2023-02-06,Morning,858,30,0.035,71,0.794,528,174
2023-02-06,Evening,1183,33,0.0279,106,0.935,689,177
2023-02-06,Night,1117,50,0.0448,52,0.75,620,171
2023-02-07,Morning,961,44,0.0458,22,0.898,795,164
2023-02-07,Evening,874,32,0.0366,22,0.803,626,160
2023-02-07,Night,1085,32,0.0295,48,0.957,643,189
2023-02-08,Morning,925,17,0.0184,82,0.806,594,155
2023-02-08,Evening,937,14,0.0149,33,0.939,760,180
2023-02-08,Night,874,31,0.0355,107,0.774,782,199
2023-02-09,Morning,811,38,0.0469,51,0.793,772,164
2023-02-09,Evening,1200,54,0.045,112,0.958,560,169
2023-02-09,Night,871,25,0.0287,113,0.933,773,175
2023-02-10,Morning,886,31,0.035,43,0.752,648,156
2023-02-10,Evening,1186,19,0.016,4,0.895,772,179
2023-02-10,Night,998,48,0.0481,26,0.858,574,188
2023-02-11,Morning,853,14,0.0164,99,0.878,549,160
2023-02-11,Evening,883,22,0.0249,23,0.943,755,154
2023-02-11,Night,813,29,0.0357,75,0.795,770,150
2023-02-12,Morning,881,16,0.0182,36,0.931,738,160
2023-02-12,Evening,930,33,0.0355,118,0.847,510,194
2023-02-12,Night,1128,36,0.0319,42,0.955,753,165
2023-02-13,Morning,1105,37,0.0335,68,0.91,677,154
2023-02-13,Evening,1082,45,0.0416,40,0.773,571,174
2023-02-13,Night,946,26,0.0275,0,0.866,638,192
2023-02-14,Morning,1158,15,0.013,99,0.945,767,175
2023-02-14,Evening,913,23,0.0252,37,0.951,651,174
2023-02-14,Night,1058,25,0.0236,14,0.785,586,193
2023-02-15,Morning,1132,53,0.0468,27,0.751,517,153
2023-02-15,Evening,898,22,0.0245,7,0.809,502,168
2023-02-15,Night,1184,41,0.0346,47,0.761,786,199
2023-02-16,Morning,1134,24,0.0212,89,0.955,671,189
2023-02-16,Evening,956,38,0.0397,67,0.811,517,168
2023-02-16,Night,974,48,0.0493,74,0.783,733,190
2023-02-17,Morning,1145,48,0.0419,100,0.967,733,162
2023-02-17,Evening,1129,31,0.0275,6,0.814,792,198
2023-02-17,Night,1161,55,0.0474,94,0.86,569,196
2023-02-18,Morning,826,38,0.046,106,0.973,513,169
2023-02-18,Evening,870,39,0.0448,47,0.937,655,160
2023-02-18,Night,827,31,0.0375,87,0.888,576,196
2023-02-19,Morning,1179,25,0.0212,23,0.9,532,150
2023-02-19,Evening,984,19,0.0193,115,0.796,765,164
2023-02-19,Night,938,38,0.0405,101,0.882,504,151
2023-02-20,Morning,1180,28,0.0237,61,0.799,786,180
2023-02-20,Evening,1189,20,0.0168,16,0.794,606,162
2023-02-20,Night,800,8,0.01,60,0.904,503,192
2023-02-21,Morning,1081,30,0.0278,19,0.872,584,176
2023-02-21,Evening,969,25,0.0258,51,0.806,623,172
2023-02-21,Night,980,45,0.0459,78,0.829,501,189
2023-02-22,Morning,1023,13,0.0127,53,0.877,584,165
2023-02-22,Evening,973,22,0.0226,23,0.835,565,165
2023-02-22,Night,916,32,0.0349,59,0.797,551,184
2023-02-23,Morning,917,32,0.0349,72,0.767,521,177
2023-02-23,Evening,1061,37,0.0349,89,0.804,539,187
2023-02-23,Night,825,36,0.0436,117,0.895,522,184
2023-02-24,Morning,839,18,0.0215,90,0.933,721,180
2023-02-24,Evening,850,34,0.04,78,0.943,691,176
2023-02-24,Night,986,44,0.0446,101,0.766,745,168
2023-02-25,Morning,900,24,0.0267,83,0.956,620,157
2023-02-25,Evening,1151,47,0.0408,104,0.798,570,197
2023-02-25,Night,1122,21,0.0187,45,0.813,557,188
2023-02-26,Morning,999,36,0.036,2,0.886,605,199
2023-02-26,Evening,828,16,0.0193,92,0.92,723,176
2023-02-26,Night,801,15,0.0187,44,0.767,523,173
2023-02-27,Morning,1015,11,0.0108,67,0.779,622,183
2023-02-27,Evening,943,45,0.0477,36,0.848,754,189
2023-02-27,Night,1105,47,0.0425,85,0.752,751,184
2023-02-28,Morning,1045,30,0.0287,5,0.842,506,170
2023-02-28,Evening,1100,31,0.0282,28,0.76,551,171
2023-02-28,Night,993,18,0.0181,60,0.924,667,176
2023-03-01,Morning,973,25,0.0257,118,0.77,601,159
2023-03-01,Evening,800,16,0.02,15,0.917,548,161
2023-03-01,Night,1108,33,0.0298,58,0.883,670,167
2023-03-02,Morning,1031,31,0.0301,59,0.766,794,189
2023-03-02,Evening,859,26,0.0303,53,0.82,764,177
2023-03-02,Night,1130,49,0.0434,39,0.958,648,194
2023-03-03,Morning,1196,29,0.0242,47,0.76,540,184
2023-03-03,Evening,1103,37,0.0335,57,0.848,585,160
2023-03-03,Night,814,39,0.0479,28,0.774,650,176
2023-03-04,Morning,945,9,0.0095,1,0.92,770,156
2023-03-04,Evening,1127,50,0.0444,107,0.895,596,154
2023-03-04,Night,978,15,0.0153,43,0.941,653,162
2023-03-05,Morning,882,24,0.0272,10,0.976,676,165
2023-03-05,Evening,1063,36,0.0339,18,0.89,589,164
2023-03-05,Night,1182,32,0.0271,95,0.855,715,168
2023-03-06,Morning,1194,52,0.0436,62,0.838,627,200
2023-03-06,Evening,1040,16,0.0154,114,0.949,788,156
2023-03-06,Night,1094,14,0.0128,119,0.891,638,154
2023-03-07,Morning,925,12,0.013,85,0.894,685,190
2023-03-07,Evening,1159,24,0.0207,91,0.862,541,184
2023-03-07,Night,1076,47,0.0437,114,0.964,588,186
2023-03-08,Morning,1178,48,0.0407,46,0.75,507,197
2023-03-08,Evening,1087,47,0.0432,13,0.808,574,174
2023-03-08,Night,1001,31,0.031,32,0.849,607,196
2023-03-09,Morning,1043,32,0.0307,50,0.885,716,169
2023-03-09,Evening,858,13,0.0152,107,0.863,644,186
2023-03-09,Night,855,19,0.0222,43,0.814,648,166
2023-03-10,Morning,1159,54,0.0466,118,0.92,529,158
2023-03-10,Evening,822,14,0.017,14,0.819,706,178
2023-03-10,Night,1030,34,0.033,25,0.954,551,175
2023-03-11,Morning,912,28,0.0307,84,0.888,530,157
2023-03-11,Evening,1148,11,0.0096,68,0.922,597,154
2023-03-11,Night,1198,56,0.0467,72,0.824,524,166
2023-03-12,Morning,887,18,0.0203,92,0.751,632,156
2023-03-12,Evening,996,26,0.0261,106,0.773,716,178
2023-03-12,Night,1180,38,0.0322,74,0.754,756,171
2023-03-13,Morning,1185,22,0.0186,26,0.819,526,164
2023-03-13,Evening,1142,54,0.0473,5,0.805,761,172
2023-03-13,Night,958,15,0.0157,52,0.839,657,196
2023-03-14,Morning,806,34,0.0422,61,0.764,642,166
2023-03-14,Evening,1162,50,0.043,72,0.827,736,183
2023-03-14,Night,971,46,0.0474,3,0.791,740,150
2023-03-15,Morning,911,27,0.0296,77,0.902,755,160
2023-03-15,Evening,964,22,0.0228,118,0.752,543,188
2023-03-15,Night,1018,35,0.0344,5,0.842,671,186
2023-03-16,Morning,1018,35,0.0344,6,0.756,781,161
2023-03-16,Evening,880,12,0.0136,36,0.891,797,174
2023-03-16,Night,1048,44,0.042,96,0.772,695,174
2023-03-17,Morning,1028,43,0.0418,48,0.769,533,180
2023-03-17,Evening,1025,12,0.0117,30,0.852,557,150
2023-03-17,Night,977,14,0.0143,41,0.974,550,194
2023-03-18,Morning,996,21,0.0211,106,0.941,533,193
2023-03-18,Evening,954,19,0.0199,76,0.867,714,177
2023-03-18,Night,947,46,0.0486,14,0.788,591,182
2023-03-19,Morning,968,30,0.031,61,0.784,768,175
2023-03-19,Evening,1171,30,0.0256,38,0.963,715,189
2023-03-19,Night,1046,47,0.0449,119,0.879,553,170
2023-03-20,Morning,876,18,0.0205,120,0.905,743,181
2023-03-20,Evening,874,31,0.0355,30,0.938,787,170
2023-03-20,Night,877,39,0.0445,14,0.928,514,175
2023-03-21,Morning,1094,53,0.0484,19,0.765,635,163
2023-03-21,Evening,827,24,0.029,69,0.768,571,194
2023-03-21,Night,914,39,0.0427,111,0.92,623,184
2023-03-22,Morning,936,44,0.047,84,0.899,657,185
2023-03-22,Evening,1123,39,0.0347,117,0.885,745,198
2023-03-22,Night,1024,36,0.0352,17,0.839,746,191
2023-03-23,Morning,806,18,0.0223,78,0.819,586,169
2023-03-23,Evening,898,30,0.0334,20,0.777,596,150
2023-03-23,Night,812,25,0.0308,21,0.931,665,192
2023-03-24,Morning,1185,23,0.0194,50,0.889,644,173
2023-03-24,Evening,1012,38,0.0375,9,0.975,656,180
2023-03-24,Night,952,45,0.0473,51,0.906,769,193
2023-03-25,Morning,1076,34,0.0316,33,0.79,551,192
2023-03-25,Evening,1135,31,0.0273,32,0.843,726,156
2023-03-25,Night,832,19,0.0228,27,0.978,708,198
2023-03-26,Morning,872,35,0.0401,117,0.823,549,184
2023-03-26,Evening,1029,50,0.0486,114,0.818,580,187
2023-03-26,Night,1110,43,0.0387,48,0.912,625,191
2023-03-27,Morning,819,22,0.0269,32,0.858,651,185
2023-03-27,Evening,1139,25,0.0219,30,0.91,612,192
2023-03-27,Night,871,41,0.0471,52,0.847,689,170
2023-03-28,Morning,913,43,0.0471,56,0.79,781,168
2023-03-28,Evening,1071,48,0.0448,6,0.83,651,170
2023-03-28,Night,808,13,0.0161,87,0.756,733,176
2023-03-29,Morning,938,11,0.0117,49,0.832,733,153
2023-03-29,Evening,1114,40,0.0359,120,0.774,639,183
2023-03-29,Night,802,22,0.0274,111,0.925,668,184
2023-03-30,Morning,1113,17,0.0153,38,0.805,735,184
2023-03-30,Evening,1114,49,0.044,92,0.788,619,173
2023-03-30,Night,884,37,0.0419,116,0.758,531,170
2023-03-31,Morning,1082,43,0.0397,111,0.893,656,176
2023-03-31,Evening,922,20,0.0217,112,0.95,596,158
2023-03-31,Night,992,37,0.0373,66,0.944,689,162
2023-04-01,Morning,840,35,0.0417,110,0.762,566,194
2023-04-01,Evening,1000,17,0.017,70,0.92,747,158
2023-04-01,Night,998,32,0.0321,103,0.961,788,160
2023-04-02,Morning,892,18,0.0202,98,0.81,526,155
2023-04-02,Evening,1194,16,0.0134,108,0.928,510,198
2023-04-02,Night,895,34,0.038,57,0.854,772,153
2023-04-03,Morning,897,44,0.0491,32,0.785,729,180
2023-04-03,Evening,1149,32,0.0279,10,0.897,698,159
2023-04-03,Night,919,33,0.0359,66,0.768,586,154
2023-04-04,Morning,975,23,0.0236,113,0.929,628,187
2023-04-04,Evening,1133,45,0.0397,23,0.885,702,193
2023-04-04,Night,1102,22,0.02,88,0.782,526,150
2023-04-05,Morning,887,12,0.0135,77,0.955,707,187
2023-04-05,Evening,1128,56,0.0496,26,0.765,673,195
2023-04-05,Night,1145,37,0.0323,48,0.816,791,150
2023-04-06,Morning,856,13,0.0152,61,0.92,676,195
2023-04-06,Evening,1078,36,0.0334,59,0.976,530,175
2023-04-06,Night,884,21,0.0238,8,0.875,605,192
2023-04-07,Morning,1110,34,0.0306,61,0.761,645,168
2023-04-07,Evening,1028,12,0.0117,106,0.832,578,197
2023-04-07,Night,809,23,0.0284,72,0.974,710,175
2023-04-08,Morning,974,21,0.0216,93,0.881,722,173
2023-04-08,Evening,1183,26,0.022,13,0.883,676,159
2023-04-08,Night,1149,21,0.0183,4,0.905,701,190
2023-04-09,Morning,894,40,0.0447,0,0.822,714,150
2023-04-09,Evening,1070,14,0.0131,6,0.859,543,188
2023-04-09,Night,1137,52,0.0457,50,0.961,732,176
2023-04-10,Morning,1074,23,0.0214,73,0.88,579,163
2023-04-10,Evening,1111,19,0.0171,33,0.814,782,152
2023-04-10,Night,1050,29,0.0276,98,0.903,711,161
2023-04-11,Morning,887,10,0.0113,3,0.894,509,192
2023-04-11,Evening,1194,20,0.0168,92,0.802,772,195
2023-04-11,Night,1049,40,0.0381,72,0.959,728,171
2023-04-12,Morning,984,47,0.0478,15,0.883,747,182
2023-04-12,Evening,1073,13,0.0121,78,0.863,623,181
2023-04-12,Night,1184,17,0.0144,115,0.944,695,194
2023-04-13,Morning,855,23,0.0269,67,0.777,740,158
2023-04-13,Evening,1072,32,0.0299,114,0.794,605,164
2023-04-13,Night,934,37,0.0396,19,0.8,524,150
2023-04-14,Morning,1072,48,0.0448,61,0.867,643,155
2023-04-14,Evening,1165,43,0.0369,49,0.909,530,165
2023-04-14,Night,1181,21,0.0178,1,0.835,643,166
2023-04-15,Morning,840,18,0.0214,35,0.951,653,163
2023-04-15,Evening,1049,45,0.0429,50,0.789,676,162
2023-04-15,Night,998,27,0.0271,62,0.965,591,200
2023-04-16,Morning,1124,43,0.0383,113,0.921,568,169
2023-04-16,Evening,927,38,0.041,55,0.883,686,182
2023-04-16,Night,901,15,0.0166,29,0.752,700,170
2023-04-17,Morning,855,15,0.0175,35,0.852,764,156
2023-04-17,Evening,859,33,0.0384,69,0.769,528,188
2023-04-17,Night,1169,53,0.0453,111,0.893,592,193
2023-04-18,Morning,955,14,0.0147,17,0.822,543,195
2023-04-18,Evening,976,20,0.0205,87,0.83,735,170
2023-04-18,Night,988,17,0.0172,80,0.908,718,177
2023-04-19,Morning,974,41,0.0421,66,0.937,730,166
2023-04-19,Evening,1186,57,0.0481,32,0.953,559,190
2023-04-19,Night,912,12,0.0132,22,0.763,788,161
2023-04-20,Morning,981,17,0.0173,105,0.936,787,194
2023-04-20,Evening,959,43,0.0448,119,0.865,656,189
2023-04-20,Night,847,29,0.0342,28,0.97,619,164
2023-04-21,Morning,1123,28,0.0249,113,0.948,781,182
2023-04-21,Evening,904,28,0.031,13,0.972,646,156
2023-04-21,Night,1164,12,0.0103,61,0.888,685,192
2023-04-22,Morning,1027,33,0.0321,1,0.793,561,199
2023-04-22,Evening,942,32,0.034,118,0.789,652,151
2023-04-22,Night,1068,28,0.0262,58,0.87,717,182
2023-04-23,Morning,882,16,0.0181,1,0.905,792,161
2023-04-23,Evening,1108,12,0.0108,94,0.824,739,190
2023-04-23,Night,828,27,0.0326,99,0.808,767,180
2023-04-24,Morning,853,42,0.0492,92,0.765,621,182
2023-04-24,Evening,1186,44,0.0371,10,0.905,610,187
2023-04-24,Night,1165,33,0.0283,34,0.817,590,160
2023-04-25,Morning,1047,29,0.0277,59,0.854,636,162
2023-04-25,Evening,1121,43,0.0384,84,0.836,741,171
2023-04-25,Night,963,12,0.0125,64,0.951,638,170
2023-04-26,Morning,1188,17,0.0143,54,0.837,731,155
2023-04-26,Evening,954,15,0.0157,50,0.801,572,175
2023-04-26,Night,972,24,0.0247,73,0.911,547,175
2023-04-27,Morning,1145,12,0.0105,49,0.907,533,169
2023-04-27,Evening,829,25,0.0302,22,0.828,669,181
2023-04-27,Night,837,19,0.0227,85,0.866,666,156
2023-04-28,Morning,825,28,0.0339,52,0.851,768,184
2023-04-28,Evening,818,22,0.0269,68,0.796,619,151
2023-04-28,Night,985,31,0.0315,51,0.888,559,200
2023-04-29,Morning,1160,28,0.0241,35,0.801,515,198
2023-04-29,Evening,1071,20,0.0187,7,0.898,573,158
2023-04-29,Night,905,35,0.0387,119,0.798,537,152
2023-04-30,Morning,1104,31,0.0281,40,0.775,619,168
2023-04-30,Evening,952,22,0.0231,48,0.83,538,155
2023-04-30,Night,950,37,0.0389,55,0.887,720,169
2023-05-01,Morning,1006,26,0.0258,30,0.934,617,157
2023-05-01,Evening,837,26,0.0311,66,0.763,741,168
2023-05-01,Night,1029,50,0.0486,76,0.963,704,163
2023-05-02,Morning,871,28,0.0321,34,0.755,715,190
2023-05-02,Evening,988,28,0.0283,37,0.769,709,178
2023-05-02,Night,990,40,0.0404,101,0.952,622,180
2023-05-03,Morning,1049,44,0.0419,86,0.756,507,199
2023-05-03,Evening,879,31,0.0353,21,0.879,559,170
2023-05-03,Night,1072,51,0.0476,10,0.934,756,176
2023-05-04,Morning,1028,27,0.0263,90,0.791,552,194
2023-05-04,Evening,1152,27,0.0234,4,0.978,646,155
2023-05-04,Night,1095,25,0.0228,75,0.916,593,167
2023-05-05,Morning,1065,47,0.0441,32,0.773,787,155
2023-05-05,Evening,1055,14,0.0133,76,0.84,638,163
2023-05-05,Night,1154,11,0.0095,59,0.952,550,182
2023-05-06,Morning,1025,47,0.0459,9,0.974,693,197
2023-05-06,Evening,932,37,0.0397,60,0.869,736,200
2023-05-06,Night,1077,39,0.0362,62,0.943,780,162
2023-05-07,Morning,1164,47,0.0404,1,0.809,598,183
2023-05-07,Evening,972,48,0.0494,31,0.831,521,196
2023-05-07,Night,999,34,0.034,5,0.868,672,159
2023-05-08,Morning,891,12,0.0135,91,0.901,654,186
2023-05-08,Evening,1074,31,0.0289,21,0.75,774,151
2023-05-08,Night,1062,33,0.0311,49,0.829,780,161
2023-05-09,Morning,1063,25,0.0235,0,0.848,588,164
2023-05-09,Evening,990,30,0.0303,94,0.95,594,154
2023-05-09,Night,1055,49,0.0464,67,0.952,501,194
2023-05-10,Morning,968,29,0.03,99,0.912,729,194
2023-05-10,Evening,960,42,0.0437,44,0.823,699,181
2023-05-10,Night,889,39,0.0439,24,0.938,569,181
2023-05-11,Morning,910,43,0.0473,45,0.77,674,170
2023-05-11,Evening,827,12,0.0145,118,0.763,639,188
2023-05-11,Night,1127,51,0.0453,87,0.796,645,164
2023-05-12,Morning,836,9,0.0108,41,0.801,721,152
2023-05-12,Evening,961,45,0.0468,62,0.882,591,161
2023-05-12,Night,803,26,0.0324,108,0.839,577,177
2023-05-13,Morning,940,10,0.0106,56,0.876,686,157
2023-05-13,Evening,881,27,0.0306,9,0.961,575,184
2023-05-13,Night,967,38,0.0393,19,0.874,732,160
2023-05-14,Morning,899,14,0.0156,44,0.793,545,196
2023-05-14,Evening,869,30,0.0345,20,0.847,655,166
2023-05-14,Night,888,11,0.0124,54,0.774,759,196
2023-05-15,Morning,870,12,0.0138,87,0.794,531,154
2023-05-15,Evening,875,36,0.0411,30,0.963,722,194
2023-05-15,Night,1149,53,0.0461,51,0.839,603,157
2023-05-16,Morning,830,27,0.0325,8,0.944,757,164
2023-05-16,Evening,875,40,0.0457,44,0.767,503,161
2023-05-16,Night,958,45,0.047,12,0.906,761,158
2023-05-17,Morning,1145,41,0.0358,10,0.769,657,187
2023-05-17,Evening,911,44,0.0483,73,0.96,534,166
2023-05-17,Night,855,13,0.0152,102,0.825,528,186
2023-05-18,Morning,1138,32,0.0281,92,0.918,508,154
2023-05-18,Evening,919,44,0.0479,24,0.784,564,156
2023-05-18,Night,963,42,0.0436,53,0.888,675,186
2023-05-19,Morning,926,35,0.0378,11,0.784,775,199
2023-05-19,Evening,949,11,0.0116,78,0.929,689,163
2023-05-19,Night,841,20,0.0238,74,0.918,560,200
2023-05-20,Morning,1116,26,0.0233,29,0.864,617,182
2023-05-20,Evening,864,40,0.0463,16,0.771,792,184
2023-05-20,Night,1091,39,0.0357,106,0.971,582,157
2023-05-21,Morning,999,34,0.034,31,0.787,799,158
2023-05-21,Evening,1006,11,0.0109,44,0.787,633,161
2023-05-21,Night,1102,54,0.049,25,0.885,686,159
2023-05-22,Morning,904,12,0.0133,17,0.857,543,197
2023-05-22,Evening,877,32,0.0365,117,0.891,612,168
2023-05-22,Night,1130,40,0.0354,61,0.887,517,153
2023-05-23,Morning,933,15,0.0161,93,0.846,532,161
2023-05-23,Evening,1062,42,0.0395,82,0.839,569,154
2023-05-23,Night,962,32,0.0333,12,0.839,679,175
2023-05-24,Morning,846,28,0.0331,84,0.951,529,187
2023-05-24,Evening,940,37,0.0394,14,0.88,666,193
2023-05-24,Night,823,36,0.0437,73,0.933,527,174
2023-05-25,Morning,902,24,0.0266,103,0.781,590,162
2023-05-25,Evening,1120,46,0.0411,96,0.931,581,177
2023-05-25,Night,838,16,0.0191,49,0.902,674,157
2023-05-26,Morning,868,22,0.0253,38,0.873,637,200
2023-05-26,Evening,1071,39,0.0364,54,0.858,714,150
2023-05-26,Night,1030,16,0.0155,4,0.97,670,164
2023-05-27,Morning,995,16,0.0161,111,0.918,734,188
2023-05-27,Evening,1013,13,0.0128,102,0.75,602,167
2023-05-27,Night,814,16,0.0197,51,0.877,635,195
2023-05-28,Morning,803,24,0.0299,91,0.849,623,200
2023-05-28,Evening,985,48,0.0487,120,0.885,648,178
2023-05-28,Night,1118,28,0.025,47,0.818,681,167
2023-05-29,Morning,927,45,0.0485,20,0.877,745,174
2023-05-29,Evening,999,46,0.046,34,0.758,649,170
2023-05-29,Night,1197,55,0.0459,73,0.918,702,173
2023-05-30,Morning,972,27,0.0278,111,0.899,748,176
2023-05-30,Evening,1042,31,0.0298,36,0.965,623,178
2023-05-30,Night,950,21,0.0221,14,0.949,628,184
2023-05-31,Morning,900,30,0.0333,109,0.844,789,192
2023-05-31,Evening,849,9,0.0106,22,0.906,601,162
2023-05-31,Night,1102,14,0.0127,16,0.8,577,153
2023-06-01,Morning,1147,55,0.048,30,0.866,753,160
2023-06-01,Evening,1070,11,0.0103,26,0.765,791,191
2023-06-01,Night,933,39,0.0418,66,0.834,601,167
2023-06-02,Morning,870,23,0.0264,14,0.881,791,169
2023-06-02,Evening,1065,32,0.03,36,0.961,732,187
2023-06-02,Night,970,26,0.0268,18,0.768,619,161
2023-06-03,Morning,928,21,0.0226,65,0.764,505,183
2023-06-03,Evening,1144,29,0.0253,114,0.948,585,156
2023-06-03,Night,1017,10,0.0098,46,0.795,761,196
